timestamp totalIteration totalTime residual transformationUpdateNorm nbMatches
0.12928500000000001 4 28.566999435424805 23.471639633178711 2.0008109500692894 3399
0.22884499999999999 6 53.777000427246094 24.68968391418457 2.0036558517956089 3327
0.32832919999999999 4 34.143001556396484 25.671979904174805 2.0001585233391412 3177
0.42916149999999997 4 39.687999725341797 25.032236099243164 2.0000754785749004 3315
0.52874149999999998 3 18.465999603271484 27.766017913818359 2.0000185261294496 3242
0.62827650000000002 3 24.496000289916992 30.960559844970703 2.0000210019180891 3197
0.72909800000000002 3 17.96299934387207 32.855335235595703 2.0001100700955865 3094
0.82866870000000004 4 37.053001403808594 33.0570068359375 2.0000291967718522 3076
0.92815320000000001 4 45.924999237060547 34.704010009765625 2.0000862723042916 3069
1.0290648 4 36.076999664306641 34.975311279296875 2.0000512295169655 3077
1.1285612 4 38.168998718261719 34.434444427490234 2.0000589752557012 2998
1.2294327 4 46.094001770019531 19.233081817626953 2.0000142307878304 3466
1.3289656000000001 4 42.633998870849609 21.671483993530273 2.0000050128724021 3447
1.4284889000000001 4 38.430000305175781 24.052661895751953 2.0000616820751302 3387
1.5293627999999999 3 37.535999298095703 25.567926406860352 2.0000069662295079 3335
1.6289345 4 44.198001861572266 24.2413330078125 2.000206126406217 3358
1.7284168 4 41.150001525878906 25.546409606933594 2.0002983769612497 3258
1.8293168 4 33.403999328613281 22.846593856811523 2.0000507035805404 3253
1.9288417 4 35.437000274658203 23.794321060180664 2.0000280227481277 3281
2.0297073000000001 5 44.212001800537109 25.108222961425781 2.0007730359769909 3208
2.1292024999999999 4 50.174999237060547 26.227058410644531 2.0000486788236231 3154
2.2287317999999998 4 29.26099967956543 27.451648712158203 2.0000591640369212 3208
2.3282696000000001 4 39.509998321533203 19.256708145141602 2.000008801870607 3544
2.4291564000000001 4 38.134998321533203 21.903860092163086 2.0000082260459342 3557
2.5286495000000002 4 34.775001525878906 22.681941986083984 2.0000187685199609 3398
2.6295658999999998 3 28.548999786376953 23.779424667358398 2.0000217332147878 3392
2.7290412000000002 3 24.608999252319336 23.727323532104492 2.0000302770018079 3432
2.8286300999999998 6 53.387001037597656 25.315570831298828 2.0000206275190848 3330
2.9294888000000001 4 47.629001617431641 23.423618316650391 2.0000629531579692 3333
3.0290032999999998 3 31.596000671386719 24.223155975341797 2.0000023233639275 3312
3.1285473000000001 3 40.405998229980469 24.82807731628418 2.0000005092431139 3344
3.2294189000000002 4 41.113998413085938 24.932046890258789 2.0000395924225236 3331
3.3289323999999998 4 49.582000732421875 24.172639846801758 2.000108980475825 3406
3.4284848000000001 4 38.611000061035156 24.590648651123047 2.0000057206484634 3371
3.5293271000000002 4 32.909000396728516 26.616048812866211 2.0000703741554435 3375
3.6288646999999998 3 32.665000915527344 25.494125366210938 2.0000267112170449 3334
3.7296974000000001 5 44.566001892089844 27.169713973999023 2.0000948613471823 3366
3.8292470999999999 4 34.268001556396484 26.734720230102539 2.0000158151890792 3323
3.9287801999999998 4 36.500999450683594 25.983364105224609 2.0000213403281717 3388
4.0295921999999997 4 41.511001586914062 25.105903625488281 2.0000145660044648 3336
4.1291954000000004 6 64.150001525878906 26.693569183349609 2.0001031863555081 3204
4.2286703000000001 4 50.768001556396484 26.782285690307617 2.0000344177937537 3189
4.3295465999999996 3 34.201999664306641 19.162559509277344 2.0000423614998257 3398
4.4291220999999998 3 29.233999252319336 19.535150527954102 2.0000018008923601 3377
4.5286441999999996 4 38.075000762939453 19.647708892822266 2.000025344203586 3326
4.6294785999999997 4 39.147998809814453 21.787029266357422 2.0005312295331832 3245
4.7290068999999999 3 28.336000442504883 22.27250862121582 2.0000227491037399 3302
4.8286144000000002 3 26.416999816894531 21.657155990600586 2.0000054874045876 3265
