timestamp transX transY transZ rotX rotY rotZ
0.12928500000000001 1 1 1 1 1 1
0.22884499999999999 1 1 1 1 1 1
0.32832919999999999 1 1 1 1 1 1
0.42916149999999997 1 1 1 1 1 1
0.52874149999999998 1 1 1 1 1 1
0.62827650000000002 1 1 1 1 1 1
0.72909800000000002 1 1 1 1 1 1
0.82866870000000004 1 1 1 1 1 1
0.92815320000000001 1 1 1 1 1 1
1.0290648 1 1 1 1 1 1
1.1285612 1 1 1 1 1 1
1.2294327 1 1 1 1 1 1
1.3289656000000001 1 1 1 1 1 1
1.4284889000000001 1 1 1 1 1 1
1.5293627999999999 1 1 1 1 1 1
1.6289345 1 1 1 1 1 1
1.7284168 1 1 1 1 1 1
1.8293168 1 1 1 1 1 1
1.9288417 1 1 1 1 1 1
2.0297073000000001 1 1 1 1 1 1
2.1292024999999999 1 1 1 1 1 1
2.2287317999999998 1 1 1 1 1 1
2.3282696000000001 1 1 1 1 1 1
2.4291564000000001 1 1 1 1 1 1
2.5286495000000002 1 1 1 1 1 1
2.6295658999999998 1 1 1 1 1 1
2.7290412000000002 1 1 1 1 1 1
2.8286300999999998 1 1 1 1 1 1
2.9294888000000001 1 1 1 1 1 1
3.0290032999999998 1 1 1 1 1 1
3.1285473000000001 1 1 1 1 1 1
3.2294189000000002 1 1 1 1 1 1
3.3289323999999998 1 1 1 1 1 1
3.4284848000000001 1 1 1 1 1 1
3.5293271000000002 1 1 1 1 1 1
3.6288646999999998 1 1 1 1 1 1
3.7296974000000001 1 1 1 1 1 1
3.8292470999999999 1 1 1 1 1 1
3.9287801999999998 1 1 1 1 1 1
4.0295921999999997 1 1 1 1 1 1
4.1291954000000004 1 1 1 1 1 1
4.2286703000000001 1 1 1 1 1 1
4.3295465999999996 1 1 1 1 1 1
4.4291220999999998 1 1 1 1 1 1
4.5286441999999996 1 1 1 1 1 1
4.6294785999999997 1 1 1 1 1 1
4.7290068999999999 1 1 1 1 1 1
4.8286144000000002 1 1 1 1 1 1
4.929424 1 1 1 1 1 1
5.0290109000000003 1 1 1 1 1 1
5.1284938999999996 1 1 1 1 1 1
5.2293215999999996 1 1 1 1 1 1
5.3288989999999998 1 1 1 1 1 1
5.4297496000000001 1 1 1 1 1 1
5.5291940000000004 1 1 1 1 1 1
5.6288403000000002 1 1 1 1 1 1
5.7283331000000004 1 1 1 1 1 1
5.8291941999999999 1 1 1 1 1 1
5.9287305999999997 1 1 1 1 1 1
6.029617 1 1 1 1 1 1
6.1291257000000003 1 1 1 1 1 1
6.2286089999999996 1 1 1 1 1 1
6.3295170000000001 1 1 1 1 1 1
6.4290849000000003 1 1 1 1 1 1
6.5286013000000001 1 1 1 1 1 1
6.6294614000000003 1 1 1 1 1 1
6.7289596999999999 1 1 1 1 1 1
6.8285326 1 1 1 1 1 1
6.9293335999999996 1 1 1 1 1 1
7.0289283999999999 1 1 1 1 1 1
7.1284562999999999 1 1 1 1 1 1
7.2292953999999998 1 1 1 1 1 1
7.3288270000000004 1 1 1 1 1 1
7.4283925999999996 1 1 1 1 1 1
7.5292212000000003 1 1 1 1 1 1
7.6288062999999999 1 1 1 1 1 1
7.7282497000000001 1 1 1 1 1 1
7.829167 1 1 1 1 1 1
7.9286820000000002 1 1 1 1 1 1
8.0295501999999992 1 1 1 1 1 1
8.1290782999999998 1 1 1 1 1 1
8.2285939999999993 1 1 1 1 1 1
8.3294745999999993 1 1 1 1 1 1
8.4290382000000008 1 1 1 1 1 1
8.5285188000000005 1 1 1 1 1 1
8.6294152000000004 1 1 1 1 1 1
8.7289039000000006 1 1 1 1 1 1
8.8298015000000003 1 1 1 1 1 1
8.9293127999999999 1 1 1 1 1 1
9.0288301999999998 1 1 1 1 1 1
9.1297122000000002 1 1 1 1 1 1
9.2292520000000007 1 1 1 1 1 1
9.3288094000000008 1 1 1 1 1 1
9.4283453000000002 1 1 1 1 1 1
9.5291558999999992 1 1 1 1 1 1
9.6286915999999998 1 1 1 1 1 1
9.7295537999999997 1 1 1 1 1 1
9.8291441000000006 1 1 1 1 1 1
9.9286372000000007 1 1 1 1 1 1
10.0294749 1 1 1 1 1 1
10.129024899999999 1 1 1 1 1 1
10.2285422 1 1 1 1 1 1
10.3281034 1 1 1 1 1 1
10.428993800000001 1 1 1 1 1 1
10.528498300000001 1 1 1 1 1 1
10.6293057 1 1 1 1 1 1
10.7288882 1 1 1 1 1 1
