# timestamp x y z q_x q_y q_z q_w
1671108954.1846623 -46.782997774334056 -145.78175741057916 0.75250318296838303 0 0 0.70710678118654746 0.70710678118654757
1671108954.2855649 -46.782997774334056 -145.78175741057916 0.75250318296838303 0 0 0.70710678118654746 0.70710678118654757
1671108954.3851249 -46.776456230832636 -145.90414054206562 0.74710184482228936 0.00076140371289817063 -0.0018177590090596035 0.70645883664894471 0.70775138865083909
1671108954.4846091 -46.782318946085219 -146.01462555008297 0.72406168869547538 0.0013610846424223092 0.000918791407575675 0.70606065408904484 0.70814945881381297
1671108954.5854414 -46.787947124993757 -146.0688862600438 0.72392685845294025 0.0001578518697989282 0.00052687199374453354 0.70642803941858612 0.70778465836149773
1671108954.6850214 -46.776236639000011 -146.13952660067724 0.73014676252780475 -0.0017710253033411298 0.00018017156159582309 0.70469045562332189 0.70951264453917817
1671108954.7845564 -46.768041444157994 -146.22086064176131 0.71742522530164554 -0.0019808814140175593 0.0010456632293720091 0.70454088225162548 0.70965986777704682
1671108954.8853779 -46.769967168722488 -146.33278568873052 0.72826828184314063 0.0047733429486912947 -0.001306084321821197 0.70482201362810804 0.70936692793367351
1671108954.9849486 -46.761511297343255 -146.41086530925207 0.72279665108192703 -0.0017176545045367838 5.5954270665176808e-05 0.70650699000072426 0.70770397738902036
1671108955.0844331 -46.755810508151725 -146.49546562314768 0.70700659196674809 0.0011364069809460789 0.0036741370759393287 0.70965119417346834 0.70454268281211396
1671108955.1853447 -46.747117556544303 -146.56116714986589 0.70004611725648858 0.0013107027035390837 0.0026951433304882953 0.70754410086891173 0.70666283586053547
1671108955.2848411 -46.758720838509888 -146.65477189953458 0.67641768687926218 -0.0030216638681748636 -0.00047001447910369063 0.7070088254881024 0.70719811178749004
1671108955.3857126 -46.756465703417035 -146.72672172397981 0.66728066119384011 -9.8277695420909952e-05 0.0048490577001972096 0.70768232522141605 0.70651412126731372
1671108955.4852455 -46.754475471377233 -146.7905525177751 0.66491257862076159 -0.0022769622317718977 0.0057286648778504959 0.70685922591527128 0.7073273871271889
1671108955.5847688 -46.740228738498409 -146.87673126186476 0.67718391537228584 -0.0021974970771743642 0.0038770118441426335 0.70606066698864933 0.70813732730120915
1671108955.6856427 -46.714419203990872 -146.98468556649067 0.67680438794982611 0.0052268020914475405 0.0058312116107676233 0.70697258395957885 0.70719759829948781
1671108955.7852144 -46.690899856894276 -147.05868013344579 0.64467160527175282 -0.0055812572756955186 0.0035591291185175134 0.70749110441532159 0.70669124753341117
1671108955.8846967 -46.710142492808401 -147.12677904701567 0.65299633514974254 -0.0039681126670871392 0.0074945346376267099 0.70990063608381582 0.70425078837032229
1671108955.9855967 -46.676702318383008 -147.21384862183501 0.65652314989548166 -0.0022399590196863018 0.0043641063937182069 0.70877073014215386 0.70542185198130392
